mdp.39015035600793,0
wu.89094597895,0
njp.32101060770045,0
nyp.33433081811642,0
mdp.39015028551979,0
coo.31924001674542,0
uc1.b3526619,0
uc2.ark+=13960=t3bz6297w,0
mdp.39015020072800,0
uc1.b3666401,0
uc1.b4100215,0
njp.32101055633349,0
uc1.b4092989,0
uc1.b4505770,0
mdp.39015063976800,0
mdp.39015065390125,0
mdp.39015030481512,0
mdp.39015033893457,0
njp.32101068160264,0
mdp.39015024218482,0
uc1.b3576524,0
mdp.39015080493920,0
mdp.39015028346057,0
mdp.39015067196744,0
uc1.31822025340498,0
uva.x004853572,2.1900353813
mdp.39015016848346,6.3841178829
mdp.39015010522343,6.8783462225
mdp.39015062755536,7.4662030282
mdp.39015062284420,7.4730025104
njp.32101065858852,7.9936130849
uc2.ark+=13960=t0rr1t96f,8.1719549005
mdp.39015026461098,8.3696460835
uc2.ark+=13960=t6154h006,11.2060491493
loc.ark+=13960=t6f197h6r,13.0208333333
uva.x000388160,13.278940936
uc1.b3130491,13.5313031757
loc.ark+=13960=t88g98f6r,14.0344721723
uc2.ark+=13960=t6g162g2g,14.1014778777
mdp.39015005504850,15.0237901222
loc.ark+=13960=t1xd1150m,15.1171579743
uva.x030731979,15.3441872783
umn.31951001549572s,15.4124533663
mdp.39015023992202,15.6668355851
uva.x030216481,15.87608196
uc1.b3924507,15.9740034869
njp.32101071988925,16.5270131708
nyp.33433081982021,16.6805336042
uva.x001508673,17.6645736213
loc.ark+=13960=t53f55x71,17.96875
uc2.ark+=13960=t7qn63b0s,18.5241226782
uc2.ark+=13960=t3kw5fp5h,18.765246763
uc1.b3549090,18.9841320314
loc.ark+=13960=t9086r49j,19.2276878705
uva.x002016745,19.4608336792
loc.ark+=13960=t47p9kr84,19.5220911128
uc1.b75638,19.552389995
yale.39002088540647,19.6584756352
loc.ark+=13960=t2s474m45,19.9509695512
uc2.ark+=13960=t50g3k45c,20.5761316872
mdp.39015010936055,21.9084924328
uc2.ark+=13960=t18k7mk61,21.9707763591
uc1.b3549091,22.2166749679
uc1.b2889008,22.3663857236
uc2.ark+=13960=t5t72ct1k,22.5991099309
nyp.33433007101078,22.6407435402
loc.ark+=13960=t39z9q728,22.7149716636
loc.ark+=13960=t3902pf65,22.8105510932
yale.39002029470441,23.0111768573
nyp.33433017308747,23.0706767146
nc01.ark+=13960=t9377hx2j,23.0864789667
loc.ark+=13960=t8tb1fz25,23.1481481481
loc.ark+=13960=t71v5v13s,23.3493255138
dul1.ark+=13960=t47p9sm99,23.7953599048
wu.89087903035,23.9706152433
loc.ark+=13960=t1vd7dq7c,24.0054869685
loc.ark+=13960=t50g4fp0v,24.1046831956
loc.ark+=13960=t7cr68z2t,24.2712782095
nnc1.0064515419,24.6859074824
uc1.b3744385,24.7440014198
loc.ark+=13960=t0zp4mg9z,24.8374607349
loc.ark+=13960=t3xs6k72b,25.0705054404
loc.ark+=13960=t70v94800,25.1246479688
mdp.39015027623803,25.1756010789
loc.ark+=13960=t3st7xs7j,26.0416666667
uc1.32106007848465,26.4062236465
loc.ark+=13960=t3417rf8n,26.4884068476
inu.30000118542038,26.5038815362
uc1.b2888984,26.5113224803
nyp.33433068254576,26.5899074019
loc.ark+=13960=t6j10x46m,26.6233009557
loc.ark+=13960=t8qc0hb5d,26.6840031827
